CMPLNT_NUM,CMPLNT_FR_DT,LOC_OF_OCCUR_DESC,BORO_NM,ADDR_PCT_CD,LAT,LONG
411729005,2016-01-11,INSIDE,BROOKLYN,81.0,40.679907552,-73.920784329
500455531,2016-01-11,OUTSIDE,BROOKLYN,75.0,40.68190669,-73.89458817
323720655,2016-01-11,INSIDE,QUEENS,106.0,40.676487297,-73.837065184
133652731,2016-01-10,INSIDE,BROOKLYN,76.0,40.676231908,-74.006944997
861521596,2016-01-10,INSIDE,BROOKLYN,81.0,40.683276253,-73.930623478
607496668,2016-01-09,INSIDE,BROOKLYN,67.0,40.66156215,-73.925945955
106566639,2016-01-06,OUTSIDE,BROOKLYN,77.0,40.674601815,-73.938614149
415000339,2016-01-04,INSIDE,BRONX,47.0,40.873601668,-73.845603792
541274810,2016-01-04,OUTSIDE,BRONX,50.0,40.883927913,-73.901323524
213901491,2016-01-01,INSIDE,QUEENS,102.0,40.687140512,-73.856146091
